PLAYER,YEAR,AGE,GP,W,L,MP,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_MR,PCT_PTS_3PT,PCT_PTS_FSTBRK,PCT_PTS_FT,PCT_PTS_OFF_TOS,PCT_PTS_INTHEPT,PCT_2PTGFM_ASSTD,PCT_2PTGFM_UNASSTD,PCT_3PTGFM_ASSTD,PCT_3PTGFM_UNASSTD,PCT_FGM_ASSTD,PCT_FGM_UNASSTD
Dante Cunningham,2019,32,64.00,36.00,28.00,14.50,58.90,41.10,46.40,4.10,46.40,5.20,7.20,9.80,42.30,57.80,42.20,96.70,3.30,73.30,26.70
Dante Exum,2015,19,82.00,38.00,44.00,22.20,36.50,63.50,31.60,5.60,63.40,13.50,5.10,13.50,26.00,46.80,53.20,94.00,6.00,73.80,26.20
Dante Exum,2017,21,66.00,40.00,26.00,18.60,59.00,41.00,53.90,3.40,32.00,11.40,14.10,19.70,50.50,31.50,68.50,97.70,2.30,50.30,49.70
Dante Exum,2018,22,14.00,10.00,4.00,16.80,79.30,20.70,64.90,1.80,13.20,12.30,21.90,8.80,63.20,29.70,70.30,80.00,20.00,35.70,64.30
Dante Exum,2019,23,42.00,21.00,21.00,15.80,74.30,25.70,57.60,0.70,18.80,10.80,23.60,19.40,56.90,33.70,66.30,94.40,5.60,44.60,55.40
Danuel House Jr.,2017,24,1.00,0.00,1.00,0.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Danuel House Jr.,2018,25,23.00,6.00,17.00,17.50,55.00,45.00,53.90,2.60,29.60,26.30,16.40,21.70,51.30,51.20,48.80,86.70,13.30,60.70,39.30
Danuel House Jr.,2019,26,39.00,27.00,12.00,25.10,29.40,70.60,24.00,0.50,60.70,16.70,15.30,16.70,23.50,77.30,22.70,91.90,8.10,86.40,13.60
Dario Saric,2017,23,81.00,28.00,53.00,26.30,63.20,36.80,52.90,10.00,30.60,11.10,16.50,18.10,42.90,51.30,48.70,92.50,7.50,62.70,37.30
Dario Saric,2018,24,78.00,49.00,29.00,29.60,55.20,44.80,43.10,7.40,41.30,8.20,15.60,16.00,35.80,66.30,33.70,100.00,0.00,79.40,20.60
